Author	Title	Year	Language	Publisher	Place	Country	URL
Franz Andreas Paupie	Die Kunst des Bierbrauens, physisch- chemisch- ökonomisch beschrieben. Erster Theil	1820	TODO: Language?	TODO: Publisher?	Prag	Austria	https://play.google.com/books/reader?id=zONdAAAAcAAJ
Dr. Georg Carl Rumy	Kurze Anleitung zum Bierbrauen, mit einer vorausgeschickten populären Theorie der Gährung	1826	TODO: Language?	TODO: Publisher?	Wien	Austria	https://play.google.com/books/reader?id=H39iAAAAcAAJ
Alexander Sincerus	Der wohlerfahrne Brau Meister, Welcher Aufrichtig darweiset: Wie I. Ein gutes Bier zu brauen und zu erhalten. II. Guter Eßig aus Bier mit grosser und kleiner Quantität mit Profit zu bereiten. Auch wie man III. Sowohl aus Getreydig als blossen Bier-Hefen guten Brandwein brennen und von solchen hernach allerhand köstliche Aquas Vitae verfertigen könne.	1710	TODO: Language?	TODO: Publisher?	Prag	Austria	https://play.google.com/books/reader?id=sN1dAAAAcAAJ
Gustav Noback	Bier, Malz, sowie Maschinen und Apparate für Brauereien und Mälzereien	1874	TODO: Language?	TODO: Publisher?	Wien	Austria	https://play.google.com/books/reader?id=jUh-9KvRfFQC
Hermann Rüdinger	Die Bierbrauerei und Die Malzextrakt-Fabrikation	1876	TODO: Language?	TODO: Publisher?	Wien, Pest, Leipzig	Austria	https://play.google.com/books/reader?id=kvc_ie2qcVYC
Karl Balling	Die Malz-Kartoffel-Stärkemehl-Bierbrauerei oder: Anleitung zur Anwendung von Kartoffelstärkemehl als Ersatz eines Theils des Gerstenmalzes bei der Biererzeugung.	1844	TODO: Language?	TODO: Publisher?	Prag	Austria	https://play.google.com/books/reader?id=-UD11ldvykEC
Carl J. N. Balling	Die Gährungschemie wissenschaftlich begründet und in ihrer Anwendung auf die Bierbrauerei, Branntweinbrennerei, Hefenerzeugung, Weinbereitung und Essigfabrikation	1865	TODO: Language?	TODO: Publisher?	Prag	Austria	https://play.google.com/books/reader?id=ncnUVTd7G0AC
Raimund Dürnwirth	Vom Steinbier	1905	TODO: Language?	TODO: Publisher?	Klagenfurt	Austria	https://de.wikisource.org/wiki/Vom_Steinbier
Eduard Hensel	Anton Dreher, biographische Skizze	1864	TODO: Language?	TODO: Publisher?	Wien	Austria	https://play.google.com/books/reader?id=v2McUMoZX90C
Gustav Noback	Die Bier-Production in Oesterreich-Ungarn, im Deutschen Reich, in Grossbritannien und Irland, Belgien, Frankreich, den Niederlanden, Schweden und Norwegen, Russland und Nord-Amerika	1873	TODO: Language?	TODO: Publisher?	Wien	Austria	http://reader.digitale-sammlungen.de/de/fs1/object/display/bsb11162159_00005.html
Karl Balling	Der Getreidestein (Zeilithoid) und seine Anwendung zur Biererzeugung auf kaltem Wege besonders anwendbar in heißen Klimaten und auf langen Seereisen historisch und nach den bisher gemachten Erfahrungen erläutert	1852	TODO: Language?	TODO: Publisher?	Prag	Austria	https://play.google.com/books/reader?id=TMk6AAAAcAAJ
Carl J. N. Balling	Die sacharometrische Bier- und Branntweinmeischprobe	1846	TODO: Language?	TODO: Publisher?	Prag	Austria	https://opacplus.bsb-muenchen.de/Vta2/bsb10293882/bsb:BV010813526?page=5
Franz Cassian	Die Dampf-Brauerei. Eine Darstellung des gesammten Brauwesens nach dem neuesten Stande des Gewerbes. Mit besonderer Berücksichtigung der Dickmaisch- (Decoctionsbrauerei) nach bayrischer, Wiener und böhmischer Braumethode und des Dampfbetriebs.	1887	TODO: Language?	TODO: Publisher?	Wien, Pest, Leipzig	Austria	https://babel.hathitrust.org/cgi/pt?id=nyp.33433008170395;view=1up;seq=7
Julius E. Thausing	Die Theorie und Praxis der Malzbereitung Bierfabrikation. Mit besonderer Berücksichtigung des Wiener Brauverfahrens.	1877	TODO: Language?	TODO: Publisher?	Leipzig	Austria	https://babel.hathitrust.org/cgi/pt?id=chi.086461666
Julius E. Thausing	Die Theorie und Praxis der Malzbereitung und Bierfabrikation.	1888	German	J.M. Gebhardt's Verlag	Leipzig	Germany	https://books.google.com/books?id=8vQ7AQAAMAAJ
George Watkins	The Compleat Brewer ; Or, the Art and Mystery of Brewing Explained	1760	TODO: Language?	TODO: Publisher?	London	United Kingdom	https://books.google.de/books?id=X2lHAAAAYAAJ
W. H. Roberts	The Scottish Ale-Brewer and Practical Maltster, a Comprehensive Digest of the Art of Brewing Ales According to the Scottish System.	1857	TODO: Language?	TODO: Publisher?	Edinburgh	United Kingdom	https://play.google.com/books/reader?id=WBkZAAAAYAAJ
William Ellis	The London and Country Brewer.	1737	TODO: Language?	TODO: Publisher?	London	United Kingdom	https://play.google.com/books/reader?id=63FZAAAAYAAJ
John Tuck	The Private Brewer's Guide to the Art of Brewing Ale and Porter	1822	TODO: Language?	TODO: Publisher?	London	United Kingdom	https://play.google.com/books/reader?id=ZBtdAAAAcAAJ
George Cooper	The Modern Domestic Brewer.	1811	TODO: Language?	TODO: Publisher?	London	United Kingdom	https://play.google.com/books/reader?id=45pgAAAAcAAJ
G. Lloyd Worthington	The Brewers Guide; A New Work, Containing the Whole Theory and Practice of Brewing Ales and Porter.	1812	TODO: Language?	TODO: Publisher?	London	United Kingdom	https://play.google.com/books/reader?id=-JpgAAAAcAAJ
Samuel Child	Every Man his own Brewer; Or, a Compendium of the English Brewery.	1768	TODO: Language?	TODO: Publisher?	London	United Kingdom	https://play.google.com/books/reader?id=fLM6AQAAMAAJ
???	The Theory and Practice of Malting and Brewing.	1793	TODO: Language?	TODO: Publisher?	Edinburgh	United Kingdom	https://play.google.com/books/reader?id=_h1dAAAAcAAJ
David Booth	The Art of Brewing	1834	TODO: Language?	TODO: Publisher?	London	United Kingdom	https://play.google.com/books/reader?id=9xgZAAAAYAAJ
Alexander Morrice	A Treatise on Brewing	1815	TODO: Language?	TODO: Publisher?	London	United Kingdom	https://archive.org/stream/b29319201
Frank Faulkner	The Art of Brewing Practical and Theoretical	1876	TODO: Language?	TODO: Publisher?	London	United Kingdom	https://archive.org/stream/b28103646
Edward Ralph Moritz, George Harris Morris	A Text-Book of the Science of Brewing	1891	TODO: Language?	TODO: Publisher?	London	United Kingdom	https://archive.org/stream/b28073861
A. Chaston Chapman	Brewing	1912	TODO: Language?	TODO: Publisher?	Cambridge	United Kingdom	https://archive.org/details/b28077118
William Black	A Practical Treatise on Brewing, and on Storing of Beer	1835	TODO: Language?	TODO: Publisher?	London	United Kingdom	https://archive.org/stream/b29323022
Walter J. Sykes, Arthur R. Ling	The Principles and Practice of Brewing	1907	TODO: Language?	TODO: Publisher?	London	United Kingdom	https://archive.org/details/principlespracti00syke
Robert Wahl, Max Henius	American Handy Book of the Brewing, Malting and Auxiliary Trades	1901	TODO: Language?	TODO: Publisher?	Chicago	United States of America	https://babel.hathitrust.org/cgi/pt?id=wu.89047299904
Ernst Hantke	Handbuch für den Amerikanischen Brauer und Mälzer.	1896	TODO: Language?	TODO: Publisher?	Milwaukee	United States of America	https://babel.hathitrust.org/cgi/pt?id=wu.89102031085
Edward H. Vogel, Jr., Frank H. Schwaiger, Henry G. Leonhardt, J. Adolf Merten	The Practical Brewer, a Manual for the Brewing Industry	1946	TODO: Language?	TODO: Publisher?	St. Louis	United States of America	https://babel.hathitrust.org/cgi/pt?id=mdp.39015053239631
Henry Carey Baird	The Complete Practical Brewer; Or, Plain, Accurate, and Thorough Instructions in the Art of Brewing Ale, Beer, and Porter; including the Process of Making Bavarian Beer;	1852	TODO: Language?	TODO: Publisher?	Philadelphia	United States of America	https://play.google.com/books/reader?id=XJ3KR25a-DIC
Joseph Coppinger	The American Practical Brewer And Tanner	1815	TODO: Language?	TODO: Publisher?	New York	United States of America	https://ia800502.us.archive.org/27/items/theamericanpract20663gut/20663.txt
???	Documentary History of the United States Brewers' Association	1896	TODO: Language?	TODO: Publisher?	New York	United States of America	https://archive.org/stream/cu31924030091262
???	The 1915 Year Book of the United States Brewers' Association	1915	TODO: Language?	TODO: Publisher?	New York	United States of America	https://archive.org/details/yearbookuniteds10assogoog
???	The Year Book of the United States Brewers' Association	1910	TODO: Language?	TODO: Publisher?	New York	United States of America	https://archive.org/details/yearbookuniteds13assogoog
???	United States Brewers' Association The Year Book And Proceedings of the Fifty-Second Annual Convention held in Boston, Mass.	1913	TODO: Language?	TODO: Publisher?		United States of America	https://archive.org/details/yearbookuniteds07assogoog
???	The Year Book of the United States Brewers' Association	1909	TODO: Language?	TODO: Publisher?	New York	United States of America	https://archive.org/details/yearbookuniteds09assogoog
???	United States Brewers' Association The Year Book And Proceedings of the Fifty-First Annual Convention held in Chicago, Ill.	1911	TODO: Language?	TODO: Publisher?	New York	United States of America	https://archive.org/details/yearbookuniteds12assogoog
???	The 1917 Year Book of the United States Brewers' Association	1918	TODO: Language?	TODO: Publisher?	New York	United States of America	https://archive.org/details/yearbookuniteds03assogoog
???	United States Brewers' Association The Year Book And Proceedings of the Fifty-Third Annual Convention held in Atlantic City, N. J.	1914	TODO: Language?	TODO: Publisher?	New York	United States of America	https://archive.org/details/yearbookuniteds11assogoog
John Pitt	How To Brew Good Beer. A Complete Guide to the Art of Brewing Ale, Bitter Ale, Table-Ale, Brown Stout, Porter, and Table-Beer.	1864	TODO: Language?	TODO: Publisher?	London	United States of America	https://archive.org/stream/0163HOWT
???	Twenty-Five Year of Brewing, with an Illustrated History of American Beer, Dedicated to the Friends of George Ehret	1891	TODO: Language?	TODO: Publisher?	New York	United States of America	https://archive.org/details/twentyfiveyearso00ehre
F. W. Salem	Beer, Its History and Its Economic Value as a National Beverage	1880	TODO: Language?	TODO: Publisher?	Hartford, Conn.	United States of America	https://archive.org/details/beeritshistoryit00sale
Dr. Robert Wahl and Dr. Max Henius, Editors	American Brewer's Review, Vol. XI, No. I	1897	TODO: Language?	TODO: Publisher?	Chicago and New York	United States of America	https://babel.hathitrust.org/cgi/pt?id=nyp.33433008873584
Robert Wahl, PhD, Max Henius, PhD	Brauereibetrieb in den Vereinigten Staaten von Nord Amerika	1910	TODO: Language?	TODO: Publisher?	Chicago	United States of America	https://babel.hathitrust.org/cgi/pt?id=hvd.32044091953075
Ernst Hantke (?)	Letters on Brewing, Edited by Hantke's Brewers' School and Laboratories	1900	TODO: Language?	TODO: Publisher?	Milwaukee, Wisconsin	United States of America	https://babel.hathitrust.org/cgi/pt?id=wu.89102031143
Emil Chr. Hanssen	Untersuchungen aus der Praxis der Gärungsindustrie	1895	German	R. Oldenbourg	München und Leipzig	Germany	https://archive.org/details/untersuchungena00hansgoog
Carl J. N. Balling	Die Gährungschemie wissenschaftlich begründet	1854	German	Friedrich Tempsky	Prag	Austria	https://babel.hathitrust.org/cgi/pt?id=njp.32101055992869&view=2up&seq=7&skin=2021
